asset,interval,horizon,threshold,fee_bps,model_MAE,model_RMSE,model_sMAPE,model_DA,model_Spearman,model_Pearson,model_CumReturn,model_MaxDD,model_Trades,model_Exposure,naive_MAE,naive_RMSE,naive_sMAPE,naive_DA,naive_Spearman,naive_Pearson,naive_CumReturn,naive_MaxDD,naive_Trades,naive_Exposure
BTC-USD,1d,1,0.002,5.0,0.01969725546409348,0.027119325268307477,149.13134271041798,0.5013333333333333,-0.007188758674289107,0.013531718331497402,0.01999024015977624,-0.31533503433369736,79,0.25333333333333335,0.025414935443591493,0.03665783530264068,151.77650661814434,0.49333333333333335,-0.031803390596012976,-0.12817673380473066,-0.1876617510623909,-0.25448258582988637,184,0.43466666666666665
ETH-USD,1d,1,0.002,5.0,0.03145359873607918,0.043557026601938144,150.56707877362237,0.504,0.05827579928380615,0.09240682333643553,0.36185012113912585,-0.4070168450795234,127,0.472,0.04101387354023008,0.058128088237229016,151.4410218299838,0.504,0.02634793491378045,-0.021155795592626397,0.18987271387746318,-0.2603802140399091,182,0.44
SOL-USD,1d,1,0.002,5.0,0.034936813025954735,0.046642951957534866,147.11172776450528,0.5226666666666666,0.0356063260828516,0.06574090640901538,0.206185649725815,-0.5022088378315684,118,0.5573333333333333,0.04608740391141009,0.06456158848571907,142.6992466314975,0.5253333333333333,0.0057676641245459495,-0.07586530417519438,-0.3337669314781804,-0.46835256663697133,182,0.464
